"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient"
"Prevotella.Otu0738",192,0.664826434017705,0.818786239790226,0.463768115942029,-0.072463768115942,0.0676637279871611,4.95444370508619,0.000157483978133777,0.00488284056444799
"Prevotella.Otu2220",192,0.664826434017705,0.818786239790226,0.463768115942029,-0.072463768115942,0.0676637279871611,2.80702110215372,0.000248299404319321,0.00173769370515473
"Prevotella.Otu2666",190.5,0.528231727333139,0.718640838348573,0.460144927536232,-0.0797101449275363,0.0984999789074668,2.03322121002891,0.000594234736751867,0.0024323082198785
"Prevotella.Otu2327",209,0.979590284468333,0.996626637241696,0.504830917874396,0.00966183574879231,0.00399532701360887,-1.22593519413226,0.00206701115837374,0.000883689215500371
"Klebsiella.Otu1452",216,0.820664586774985,0.938524447289691,0.521739130434783,0.0434782608695652,0.0354030736181507,-3.77996569611116,0.00511006415283941,0.000372000304424383
"Lactobacillus.Otu0959",193,0.462757973733584,0.683795035023543,0.466183574879227,-0.0676328502415459,0.114680429477851,-7.670649955604,0.0100628418431312,4.93883962732838e-05
"Catenibacterium.Otu2320",193,0.462757973733584,0.683795035023543,0.466183574879227,-0.0676328502415459,0.114680429477851,-3.46132216184348,0.00306798603588776,0.000278542573115525
"Prevotella.Otu2702",193,0.462757973733584,0.683795035023543,0.466183574879227,-0.0676328502415459,0.114680429477851,-6.61459055097576,0.00248137275329155,2.53222238855995e-05
"Megamonas.Otu1877",204,0.747560975609756,0.883481152993348,0.492753623188406,-0.0144927536231884,0.0502656297265582,-2.19811089088592,0.00566676334618603,0.00123491698569327
"Streptococcus.Otu0749",212.5,1,1,0.513285024154589,0.0265700483091786,0,-5.88752845872314,0.00417881255787134,7.05878939829507e-05
"Bacteria.Otu0435",216,1,1,0.521739130434783,0.0434782608695652,0,43.8337236313175,0,0.00348101472301544
"Bacteroides.Otu0801",195.5,0.439024390243902,0.67586649550706,0.472222222222222,-0.0555555555555556,0.120853774445505,-52,0.00139719584181303,0
