".record.id","Sample.type","feature","Abundance"
"SB38","patient","Unclassified_Firmicutes",0.000303526983548838
"SB39","patient","Unclassified_Firmicutes",0.00289855072463768
"SB4","patient","Unclassified_Firmicutes",0.000602954476936991
"SB40","control","Unclassified_Firmicutes",0.00142806140664049
"SB41","patient","Unclassified_Firmicutes",0.00084100566572238
"SB42","patient","Unclassified_Firmicutes",0.00144343994530122
"SB43","patient","Unclassified_Firmicutes",0.0005824111822947
"SB44","patient","Unclassified_Firmicutes",0.000274574409665019
"SB45","control","Unclassified_Firmicutes",0.00193900934249956
"SB5","patient","Unclassified_Firmicutes",0.00196099793005774
"SB6","patient","Unclassified_Firmicutes",0.000741564701520208
"SB7","control","Unclassified_Firmicutes",0.00870426721392683
"SB8","patient","Unclassified_Firmicutes",0.00218597612241466
"SB9","patient","Unclassified_Firmicutes",0.0132525558500568
"SB1","control","Rhizobiales",0.00113662195953626
"SB10","control","Rhizobiales",0.0149024951034659
"SB11","patient","Rhizobiales",0
"SB12","control","Rhizobiales",0.000270051309748852
"SB13","control","Rhizobiales",0
"SB14","control","Rhizobiales",0.00876740587931924
"SB15","control","Rhizobiales",6.89464975179261e-05
"SB16","patient","Rhizobiales",0
"SB17","patient","Rhizobiales",0.00270096463022508
"SB18","patient","Rhizobiales",0.00427747814766598
"SB19","control","Rhizobiales",0.00422758499207328
"SB21","control","Rhizobiales",0.00647831563793414
"SB22","patient","Rhizobiales",0
"SB23","patient","Rhizobiales",0.00215169445938677
"SB24","control","Rhizobiales",0.0107573149741824
"SB25","control","Rhizobiales",0.00404944586530264
"SB26","control","Rhizobiales",0
"SB28","patient","Rhizobiales",0
"SB29","patient","Rhizobiales",0
"SB3","control","Rhizobiales",0.00932642487046632
"SB30","patient","Rhizobiales",0
"SB31","control","Rhizobiales",0.00146520146520147
"SB32","control","Rhizobiales",0.00882489549465862
"SB33","control","Rhizobiales",0.00568508096933502
"SB34","patient","Rhizobiales",0.00744653216728721
"SB35","patient","Rhizobiales",0
"SB36","patient","Rhizobiales",0.00190258751902588
"SB38","patient","Rhizobiales",0.000789170157226977
"SB39","patient","Rhizobiales",0.0119162640901771
"SB4","patient","Rhizobiales",0.000301477238468496
"SB40","control","Rhizobiales",0.0192788289896466
"SB41","patient","Rhizobiales",0.00115084985835694
"SB42","patient","Rhizobiales",0
"SB43","patient","Rhizobiales",0.0001941370607649
"SB44","patient","Rhizobiales",0
"SB45","control","Rhizobiales",0.000528820729772607
"SB5","patient","Rhizobiales",0.00119838762392417
"SB6","patient","Rhizobiales",0
"SB7","control","Rhizobiales",0.0123133536197014
"SB8","patient","Rhizobiales",0.0067260803766605
"SB9","patient","Rhizobiales",0.000757288905717531
