"name","statistic","pval","pval.adjusted","common.lang.eff.size","rank.biserial.corr.eff.size","r.eff.size","l2fc.patient.by.control","mean.control","mean.patient","l2fc.paired.median","median.paired.control","median.paired.patient"
"Parabacteroides.Otu1736",37,0.3575439453125,0.635416666666667,0.4375,-0.125,0.245895079341144,-0.58330538080795,0.00448488381862587,0.00299335882761869,-0.648139343768722,0.0038997779873,0.000157453278502158
"Clostridiales.Otu1597",0,0.015625,0.100328947368421,0.28125,-0.4375,0.913751419540536,-4.3131312540435,0.00566248059456558,0.000284855653965579,0,0,0
"Bacteroides.Otu2120",67,0.3909912109375,0.662512885199653,0.5625,0.125,0.229262354712031,0.853285426374709,0.0016644273068038,0.00300697169790431,0.0374984687814255,0.000856549953727244,0.00120528473153046
"Lachnospiraceae.Otu2599",72,0.860260009765625,0.990110577277417,0.375,-0.25,0.0440107980696929,1.15262557463888,0.00144884073479464,0.00322103556124597,-0.479147286266946,0.000846197697358798,0.000466035855594097
"Bacteroides.Otu2520",59,0.97796630859375,1,0.40625,-0.1875,0.0071311041823575,0.159161318109745,0.0473264553125245,0.0528465096191254,-0.774801512613451,0.0230716508902122,0.0149929680527588
"Bacteroides.Otu0752",82,0.49542236328125,0.774891388721955,0.625,0.25,0.170427491965498,0.22940850420309,0.00144512022061685,0.00169419274991037,1.10731693049826,0.000741173354839476,0.000687404086503001
"Clostridium_XlVa.Otu0236",67,0.979949951171875,1,0.5,0,0.00628291373135269,-0.719091963440399,0.00607444126004417,0.00369009958066913,-0.0523404216048511,0.00208457240838893,0.00210827323821803
"Lachnospiracea_incertae_sedis.Otu0778",29,0.2734375,0.540036109185988,0.34375,-0.3125,0.303748461494408,-0.194935360992754,0.00217400095594222,0.00189923340281185,-1.86705976534961,0.00164186824707684,2.21317280380988e-05
"Lachnospiraceae.Otu0875",56,0.5618896484375,0.836855233433735,0.4375,-0.125,0.145009256788627,0.383432288090268,0.00180101089968706,0.00234931342905453,-1.52701594171131,0.00171309927898175,0.000830362300276933
"Lachnospiraceae.Otu1734",59,0.668548583984375,0.937504910874641,0.3125,-0.375,0.107035210242973,0.901167672342071,0.0011798953809277,0.00220354539325553,-1.6094759893635,0.0010038426011475,0.000251990623611149
"Roseburia.Otu2084",60,0.705718994140625,0.946128761375343,0.5,0,0.0944029511340575,-0.185745410885234,0.00208959502968385,0.001837160868376,-0.16203492577388,0.00170171089905224,0.00101002732858096
"Lachnospiraceae.Otu0790",52,0.67877197265625,0.941024780273438,0.40625,-0.1875,0.106930349773938,-0.199746459848323,0.00191959825873747,0.00167140105273031,-1.43919819276045,0.000940131437809613,0.000564035587799665
"Bacteroides.Otu2625",62,0.93408203125,1,0.46875,-0.0625,0.0213556632981995,1.95493027673682,0.0059384539026644,0.023023218880628,-1.21288440323133,0.000925450324877606,0.000502031663337595
"Bacteroides.Otu2343",47,0.240234375,0.516949152542373,0.59375,0.1875,0.354095277239176,1.7523984619742,0.000716493522344982,0.00241399724324811,0,3.66300365972708e-05,0.000348964693106237
"Prevotella.Otu1803",6,0.109375,0.303267045454545,0.375,-0.25,0.566042041839682,-1.89109833153531,0.00654854463973664,0.00176549897512854,0,0,0
"Prevotella.Otu1987",3,0.078125,0.257601351351351,0.34375,-0.3125,0.665848828268825,-1.86907205301472,0.0571264735214264,0.01563834044382,0,0,0
"Blautia.Otu0620",54,0.76153564453125,0.948311237373737,0.40625,-0.1875,0.0783542827197901,0.0125672472670471,0.00137195688958243,0.00138396014419463,-0.153518981928976,0.00100881827907141,0.000544298797495472
"Bacteroides.Otu2383",61,0.625732421875,0.898110064338235,0.5,0,0.130354599248869,0.647387318116545,0.00109491061722156,0.00171499030254893,0,0.000468600056813869,0.000283368706360568
"Alistipes.Otu2508",40,0.7353515625,0.948311237373737,0.46875,-0.0625,0.0937486117502237,0.114022545073138,0.0202534522403614,0.0219191276799568,0,0.0111551845828276,0.000599502568532375
"Prevotella.Otu0634",23,0.4130859375,0.690362799657534,0.34375,-0.3125,0.246779536854775,-0.750825650685193,0.00419504917075247,0.00249296403554462,-1.89504466208437,0.000423686817881024,0
"Escherichia_Shigella.Otu2393",31,0.5693359375,0.836855233433735,0.3125,-0.375,0.16426474529464,-0.242734700283963,0.00985908551781444,0.00833232513028816,-1.75029452078206,0.000385347158692325,0
"Bacteroides.Otu0661",55,0.9031982421875,1,0.4375,-0.125,0.0325048964243322,0.558894458802533,0.00723686471324215,0.0106609142574207,-0.234427616589722,0.00441871175010251,0.00496160239575618
"Prevotella.Otu2602",4,0.109375,0.303267045454545,0.34375,-0.3125,0.605124396306872,-1.99258066753544,0.00816780909085591,0.00205248044734274,0,0,0
"Enterococcus.Otu1019",25,0.078125,0.257601351351351,0.65625,0.3125,0.665848828268825,0.539771005003172,0.00332649162521147,0.00483585975857745,0,0,0
"Bacteroides.Otu1565",31,0.5693359375,0.836855233433735,0.375,-0.25,0.16426474529464,-2.00414566469462,0.00637240267297705,0.00158852937566536,-0.187782082064217,0.000107396436474237,0
"Bacteroides.Otu0775",38,0.635498046875,0.901520485101744,0.46875,-0.0625,0.131464670059464,-0.132165665126288,0.00156723196029272,0.00143003757841116,0,0.000270810017959139,0.000134351886177484
"Alistipes.Otu1466",34,0.9658203125,1,0.53125,0.0625,0.0129200613694106,-0.424391342218473,0.0162308230180969,0.0120944470721214,0,0.000366300333534572,0.00284133732985607
"Bacteroides.Otu2481",0,0.0625,0.23828125,0.34375,-0.3125,0.833039015881987,-52,0.0150201109009489,0,0,0,0
"Ruminococcaceae.Otu0064",1,0.0625,0.23828125,0.375,-0.25,0.760457100467448,-6.91051224704203,0.00383224494993305,3.18553065559519e-05,0,0,0
"Parabacteroides.Otu1107",41,0.90966796875,1,0.375,-0.25,0.0327523178593886,1.98747608062871,0.000945506503726371,0.00374933664407682,-0.399985563011706,0.000420146660835113,0
"Sutterella.Otu1997",24,0.76953125,0.948311237373737,0.375,-0.25,0.0926509713383716,0.842665846855289,0.00268682387083368,0.00481844486920024,0,0.00083939436651395,0
"Prevotella.Otu1563",2,0.09375,0.278963414634146,0.375,-0.25,0.684199526742739,-1.67357390020754,0.0033956221243353,0.00106444545185193,0,0,0
"Bacteroidales.Otu1168",31,0.359375,0.635416666666667,0.53125,0.0625,0.305518889177704,3.59898128676436,0.000402281810003176,0.00487451842889944,0,0,0
