"feature","age.quant","mean","sd","median","incidence"
"Enterococcus","(6.27,8.71]",0.000421873117600717,0.00097647727848632,0.000421873117600717,0.5
"Enterococcus","(8.71,15.3]",0.000436295543345712,0.00116526875457716,0,0.25
"Enterococcus","(15.3,26.4]",0.0143912162939954,0.0320510175245613,0.000108944329232145,0.6
"Odoribacter","[3.18,6.27]",-0.000207253884526626,NA,-0.000207253884526626,0
"Odoribacter","(6.27,8.71]",0,0,0,0
"Odoribacter","(8.71,15.3]",4.7406801748876e-05,0.00736579368783034,-0.00141709283411557,0.125
"Odoribacter","(15.3,26.4]",-0.00403774860467666,0.0108120770948408,-0.000880746759480538,0.2
"Clostridium_XVIII","[3.18,6.27]",0.000478307987790888,NA,0.000478307987790888,1
"Clostridium_XVIII","(6.27,8.71]",-0.0215157582891709,0.0297973776503515,-0.0215157582891709,0
"Clostridium_XVIII","(8.71,15.3]",-0.000200800850844253,0.00332198928459575,-0.00101334825209679,0.25
"Clostridium_XVIII","(15.3,26.4]",0.00313401692845909,0.00608309510199808,0.000939714259279821,0.8
"Escherichia_Shigella","[3.18,6.27]",0.00223600030647098,NA,0.00223600030647098,1
"Escherichia_Shigella","(6.27,8.71]",-0.000220070415429726,0.0003112265661778,-0.000220070415429726,0
"Escherichia_Shigella","(8.71,15.3]",-0.000753756824161096,0.00142952140674289,-0.000321938536393251,0
"Escherichia_Shigella","(15.3,26.4]",0.0255740484708403,0.0574463384068335,0,0.4
"Clostridium_sensu_stricto","[3.18,6.27]",-0.00269429725837615,NA,-0.00269429725837615,0
"Clostridium_sensu_stricto","(6.27,8.71]",-0.000220070415429726,0.0003112265661778,-0.000220070415429726,0
"Clostridium_sensu_stricto","(8.71,15.3]",0.00563700498055662,0.00886796109626434,4.21847252771084e-06,0.5
"Clostridium_sensu_stricto","(15.3,26.4]",0.00160184214669372,0.0061286304792934,-0.000176149373758775,0.4
"Streptococcus","[3.18,6.27]",0.0153165451660837,NA,0.0153165451660837,1
"Streptococcus","(6.27,8.71]",-0.00156307175516374,0.00158806414275928,-0.00156307175516374,0
"Streptococcus","(8.71,15.3]",-0.00882683145650186,0.0259882237213384,-0.000180476772555266,0.125
"Streptococcus","(15.3,26.4]",0.00339633251159388,0.00834432662659633,-2.74313915088426e-05,0.4
"Sutterella","[3.18,6.27]",-0.00404539085286994,NA,-0.00404539085286994,0
"Sutterella","(6.27,8.71]",-0.000134300293845772,0.000189929296987383,-0.000134300293845772,0
"Sutterella","(8.71,15.3]",-0.00345628548263828,0.0498048712547345,0.00200892316638658,0.5
"Sutterella","(15.3,26.4]",-0.00724359972675933,0.0153081402163834,-0.00176149283575366,0.2
"Unclassified_Prevotellaceae","[3.18,6.27]",-0.0279756253484811,NA,-0.0279756253484811,0
"Unclassified_Prevotellaceae","(6.27,8.71]",0,0,0,0
"Unclassified_Prevotellaceae","(8.71,15.3]",0.00289289795658139,0.00872555024518767,0,0.125
"Unclassified_Prevotellaceae","(15.3,26.4]",-0.0019165420795852,0.00263798628476075,-0.000528448099413653,0
"Akkermansia","[3.18,6.27]",0,NA,0,0
"Akkermansia","(6.27,8.71]",-0.00119863551915436,0.00131526801355544,-0.00119863551915436,0
"Akkermansia","(8.71,15.3]",0.0197608606092678,0.0555317576238454,4.4263456032836e-05,0.5
"Akkermansia","(15.3,26.4]",0,0,0,0
"Megamonas","[3.18,6.27]",0,NA,0,0
"Megamonas","(6.27,8.71]",0,0,0,0
"Megamonas","(8.71,15.3]",-0.0119296813663548,0.0294996068139853,0,0
"Megamonas","(15.3,26.4]",-0.0260798495436412,0.0583772372146521,0,0.2
"Phascolarctobacterium","[3.18,6.27]",0,NA,0,0
"Phascolarctobacterium","(6.27,8.71]",0,0,0,0
"Phascolarctobacterium","(8.71,15.3]",0.000312431985135919,0.00513285301339943,0,0.375
"Phascolarctobacterium","(15.3,26.4]",-0.00670845743084123,0.0155487056557904,0,0.4
