"feature","visit","Drug.Before.Diet","mean","sd","median","incidence"
"Bacteroides.Otu1669",4,"DrugBefore_NO",0.00161800343757434,0.00275341552397781,0,0.333333333333333
"Bacteroides.Otu1669",4,"DrugBefore_YES",0.0039720515302614,0.00818129590756651,0.00022306491188936,0.571428571428571
"Lachnospiraceae.Otu0220",1,"DrugBefore_NO",0.00113212605459354,0.0013918380884602,0.000479847481275731,0.7
"Lachnospiraceae.Otu0220",1,"DrugBefore_YES",0.00326596591771586,0.00640965029916571,8.85269121813031e-05,0.538461538461538
"Lachnospiraceae.Otu0220",2,"DrugBefore_NO",0.00186770225121007,0.00250241469720503,0.000782932080642004,0.571428571428571
"Lachnospiraceae.Otu0220",2,"DrugBefore_YES",0.0034334732192385,0.00960039856280167,0.000158498179167859,0.6
"Lachnospiraceae.Otu0220",3,"DrugBefore_NO",0.0114189753033707,0.0126606870410708,0.00735859025866849,1
"Lachnospiraceae.Otu0220",3,"DrugBefore_YES",0.00494685169368578,0.0094959626575358,0.000195848021934978,0.5
"Lachnospiraceae.Otu0220",4,"DrugBefore_NO",0.00891599377115538,0.0143065900243149,0.00400271284004404,1
"Lachnospiraceae.Otu0220",4,"DrugBefore_YES",0.00214435796312565,0.00307707290701357,0.000152895847348786,0.571428571428571
"Roseburia.Otu2728",1,"DrugBefore_NO",0.000200135196653574,0.00028868055825874,2.52372299616394e-05,0.5
"Roseburia.Otu2728",1,"DrugBefore_YES",0.000375365576066569,0.000917951862094871,0,0.153846153846154
"Roseburia.Otu2728",2,"DrugBefore_NO",0.00998008770985627,0.025197715257727,0.000195733020160501,0.571428571428571
"Roseburia.Otu2728",2,"DrugBefore_YES",0.00248922630413256,0.00452207055304998,9.65773004712972e-05,0.5
"Roseburia.Otu2728",3,"DrugBefore_NO",0.00130916373273639,0.00235034204865067,0.000252119368853259,0.666666666666667
"Roseburia.Otu2728",3,"DrugBefore_YES",0.00212494074904792,0.00335866810668272,0.000238874552726864,0.75
