"feature","Sample.type","age.quant","mean","sd","median","incidence"
"Bacteroides.Otu2416","patient","(8.71,15.3]",0.00147810463366301,0.00151180911873484,0.00135042845640672,0.75
"Bacteroides.Otu2416","patient","(15.3,26.4]",0.00444011160572215,0.00819961046083804,0.00119838762392417,0.888888888888889
"Bacteroides.Otu2654","control","[3.18,6.27]",0.00493770729550697,0.0093309250127116,0.000414507772020725,0.5
"Bacteroides.Otu2654","control","(6.27,8.71]",0.0008058017727639,0.00113957579562699,0.0008058017727639,0.5
"Bacteroides.Otu2654","control","(8.71,15.3]",0.00933307296038,0.0106472536558593,0.00500113662195954,1
"Bacteroides.Otu2654","control","(15.3,26.4]",0.00183355772267964,0.0033175620211512,0.000636897601019036,0.8
"Bacteroides.Otu2654","patient","[3.18,6.27]",0.0168907860187674,0.0294054972243863,0.00319508374738425,1
"Bacteroides.Otu2654","patient","(6.27,8.71]",0.0624614847704804,0.098608903206819,0.0175671350419782,0.666666666666667
"Bacteroides.Otu2654","patient","(8.71,15.3]",0.0230711721618115,0.0387997598426132,0.00579710144927536,0.5
"Bacteroides.Otu2654","patient","(15.3,26.4]",0.0628422622145062,0.132606528819446,0.0171811298776937,0.888888888888889
"Bacteroides.Otu0863","control","[3.18,6.27]",0.00264585371989648,0.00425869210307242,0.000829015544041451,0.5
"Bacteroides.Otu0863","control","(6.27,8.71]",0.00470051034112275,0.00664752547449078,0.00470051034112275,0.5
"Bacteroides.Otu0863","control","(8.71,15.3]",0.0172874384966635,0.0278681193389961,0.00696359624931053,1
"Bacteroides.Otu0863","control","(15.3,26.4]",0.0094733416139621,0.0112558272487816,0.00826024014306395,0.8
"Bacteroides.Otu0863","patient","[3.18,6.27]",0.0236717277014529,0.0165397432628944,0.0254340813481264,1
"Bacteroides.Otu0863","patient","(6.27,8.71]",0.0079250404144343,0.0120436312778717,0.00106996072871412,0.833333333333333
"Bacteroides.Otu0863","patient","(8.71,15.3]",0.0749839997558017,0.110094492888841,0.0242329390637212,1
"Bacteroides.Otu0863","patient","(15.3,26.4]",0.0333789780220182,0.055537154508546,0.0033003300330033,0.777777777777778
"Alistipes.Otu2508","control","[3.18,6.27]",0.0103176141755443,0.0121287412460314,0.00892538379150304,0.5
"Alistipes.Otu2508","control","(6.27,8.71]",0.00013430029546065,0.000189929299271165,0.00013430029546065,0.5
"Alistipes.Otu2508","control","(8.71,15.3]",0.0355945279407555,0.0440936640359312,0.0131511088189789,0.571428571428571
"Alistipes.Otu2508","control","(15.3,26.4]",0.0148363074475105,0.0137549532244119,0.00915976748282544,1
"Alistipes.Otu2508","patient","[3.18,6.27]",0.00494672754946728,0.00989345509893455,0,0.25
"Alistipes.Otu2508","patient","(6.27,8.71]",0.00571516352196937,0.0123794371833544,0.000359971202303816,0.5
"Alistipes.Otu2508","patient","(8.71,15.3]",0.0573006527490223,0.10659865330506,0.00611916264090177,0.5
"Alistipes.Otu2508","patient","(15.3,26.4]",0.0138625183112749,0.0202083282337511,0.00067947971267715,0.666666666666667
"Lachnospiraceae.Otu2222","control","[3.18,6.27]",0.00703501639355211,0.00528018614959025,0.00816329703580889,0.75
"Lachnospiraceae.Otu2222","control","(6.27,8.71]",0.0200264084507042,0.0283216184366091,0.0200264084507042,0.5
"Lachnospiraceae.Otu2222","control","(8.71,15.3]",0.00394547881935537,0.00397136682451009,0.00204591952716526,1
"Lachnospiraceae.Otu2222","control","(15.3,26.4]",0.00308655590441073,0.00292353487985548,0.00255471344630844,1
