".record.id","Sample.type","feature","Abundance"
"SB21","control","Clostridium_sensu_stricto",0.00251934497030772
"SB22","patient","Clostridium_sensu_stricto",0
"SB23","patient","Clostridium_sensu_stricto",0
"SB24","control","Clostridium_sensu_stricto",0.000860585197934596
"SB25","control","Clostridium_sensu_stricto",0.00618073316283035
"SB26","control","Clostridium_sensu_stricto",0
"SB28","patient","Clostridium_sensu_stricto",0.0003933910306845
"SB29","patient","Clostridium_sensu_stricto",0
"SB3","control","Clostridium_sensu_stricto",0.00269430051813471
"SB30","patient","Clostridium_sensu_stricto",0.000201897839693115
"SB31","control","Clostridium_sensu_stricto",0.000293040293040293
"SB32","control","Clostridium_sensu_stricto",0.00867007276668215
"SB33","control","Clostridium_sensu_stricto",0.000229700241185253
"SB34","patient","Clostridium_sensu_stricto",0.0116893237509741
"SB35","patient","Clostridium_sensu_stricto",0
"SB36","patient","Clostridium_sensu_stricto",0.00875190258751903
"SB38","patient","Clostridium_sensu_stricto",6.07053967097675e-05
"SB39","patient","Clostridium_sensu_stricto",0.0193236714975845
"SB4","patient","Clostridium_sensu_stricto",0.000301477238468496
"SB40","control","Clostridium_sensu_stricto",0.00357015351660121
"SB41","patient","Clostridium_sensu_stricto",0
"SB42","patient","Clostridium_sensu_stricto",0.000151941046873813
"SB43","patient","Clostridium_sensu_stricto",0
"SB44","patient","Clostridium_sensu_stricto",0
"SB45","control","Clostridium_sensu_stricto",0.000528820729772607
"SB5","patient","Clostridium_sensu_stricto",0.00185205360061009
"SB6","patient","Clostridium_sensu_stricto",0
"SB7","control","Clostridium_sensu_stricto",0
"SB8","patient","Clostridium_sensu_stricto",0.00386749621657979
"SB9","patient","Clostridium_sensu_stricto",0
"SB1","control","Oscillibacter",0.00363719027051603
"SB10","control","Oscillibacter",0.00451332708847824
"SB11","patient","Oscillibacter",0.003125
"SB12","control","Oscillibacter",0
"SB13","control","Oscillibacter",0.00352112676056338
"SB14","control","Oscillibacter",0.000515729757607014
"SB15","control","Oscillibacter",0
"SB16","patient","Oscillibacter",0.00124120810922631
"SB17","patient","Oscillibacter",0.000128617363344051
"SB18","patient","Oscillibacter",0.000991878990763127
"SB19","control","Oscillibacter",0.013211203100229
"SB21","control","Oscillibacter",0.00593845600143963
"SB22","patient","Oscillibacter",0.00230326295585413
"SB23","patient","Oscillibacter",0.000134480903711673
"SB24","control","Oscillibacter",0.0179288582903041
"SB25","control","Oscillibacter",0.0151321398124467
"SB26","control","Oscillibacter",0.0037604082728982
"SB28","patient","Oscillibacter",0
"SB29","patient","Oscillibacter",0.00395968322534197
"SB3","control","Oscillibacter",0.000829015544041451
"SB30","patient","Oscillibacter",0.000504744599232788
"SB31","control","Oscillibacter",0.003003663003663
"SB32","control","Oscillibacter",0.00418021365536461
"SB33","control","Oscillibacter",0.00051682554266682
"SB34","patient","Oscillibacter",0
"SB35","patient","Oscillibacter",0.000401445202729827
"SB36","patient","Oscillibacter",0
"SB38","patient","Oscillibacter",0.00103199174406605
"SB39","patient","Oscillibacter",0.000322061191626409
"SB4","patient","Oscillibacter",0.00120590895387398
"SB40","control","Oscillibacter",0.00142806140664049
"SB41","patient","Oscillibacter",0.0013721671388102
"SB42","patient","Oscillibacter",0.00714122920306921
"SB43","patient","Oscillibacter",0.001941370607649
"SB44","patient","Oscillibacter",0.00796265788028556
"SB45","control","Oscillibacter",0.000881367882954345
"SB5","patient","Oscillibacter",0
"SB6","patient","Oscillibacter",0.0122358175750834
"SB7","control","Oscillibacter",0.0013445616021513
"SB8","patient","Oscillibacter",0.00605347233899445
"SB9","patient","Oscillibacter",0
"SB1","control","Unclassified_Enterobacteriaceae",0
"SB10","control","Unclassified_Enterobacteriaceae",8.5157114876948e-05
"SB11","patient","Unclassified_Enterobacteriaceae",0
"SB12","control","Unclassified_Enterobacteriaceae",0.0483391844450446
"SB13","control","Unclassified_Enterobacteriaceae",0
"SB14","control","Unclassified_Enterobacteriaceae",0
"SB15","control","Unclassified_Enterobacteriaceae",0
"SB16","patient","Unclassified_Enterobacteriaceae",0.000413736036408771
"SB17","patient","Unclassified_Enterobacteriaceae",0.000128617363344051
"SB18","patient","Unclassified_Enterobacteriaceae",0
"SB19","control","Unclassified_Enterobacteriaceae",0
"SB21","control","Unclassified_Enterobacteriaceae",0.00251934497030772
"SB22","patient","Unclassified_Enterobacteriaceae",0
"SB23","patient","Unclassified_Enterobacteriaceae",0
"SB24","control","Unclassified_Enterobacteriaceae",0
"SB25","control","Unclassified_Enterobacteriaceae",0.000426257459505541
"SB26","control","Unclassified_Enterobacteriaceae",0
"SB28","patient","Unclassified_Enterobacteriaceae",0.0625491738788356
"SB29","patient","Unclassified_Enterobacteriaceae",0
"SB3","control","Unclassified_Enterobacteriaceae",0
"SB30","patient","Unclassified_Enterobacteriaceae",0
"SB31","control","Unclassified_Enterobacteriaceae",0
"SB32","control","Unclassified_Enterobacteriaceae",0
"SB33","control","Unclassified_Enterobacteriaceae",0
"SB34","patient","Unclassified_Enterobacteriaceae",0
"SB35","patient","Unclassified_Enterobacteriaceae",0
"SB36","patient","Unclassified_Enterobacteriaceae",0
"SB38","patient","Unclassified_Enterobacteriaceae",0
"SB39","patient","Unclassified_Enterobacteriaceae",0
"SB4","patient","Unclassified_Enterobacteriaceae",0
"SB40","control","Unclassified_Enterobacteriaceae",0
"SB41","patient","Unclassified_Enterobacteriaceae",0
"SB42","patient","Unclassified_Enterobacteriaceae",0
"SB43","patient","Unclassified_Enterobacteriaceae",0
"SB44","patient","Unclassified_Enterobacteriaceae",0
"SB45","control","Unclassified_Enterobacteriaceae",0.000176273576590869
"SB5","patient","Unclassified_Enterobacteriaceae",0.00991393397973635
"SB6","patient","Unclassified_Enterobacteriaceae",0
"SB7","control","Unclassified_Enterobacteriaceae",0
"SB8","patient","Unclassified_Enterobacteriaceae",0.00067260803766605
"SB9","patient","Unclassified_Enterobacteriaceae",0.000757288905717531
"SB1","control","Phascolarctobacterium",0
"SB10","control","Phascolarctobacterium",0
"SB11","patient","Phascolarctobacterium",0.0138392857142857
"SB12","control","Phascolarctobacterium",0
"SB13","control","Phascolarctobacterium",0
"SB14","control","Phascolarctobacterium",0
"SB15","control","Phascolarctobacterium",0.00275785990071704
"SB16","patient","Phascolarctobacterium",0
"SB17","patient","Phascolarctobacterium",0.000128617363344051
"SB18","patient","Phascolarctobacterium",0
"SB19","control","Phascolarctobacterium",0.0345252774352651
"SB21","control","Phascolarctobacterium",0
"SB22","patient","Phascolarctobacterium",0.00921305182341651
"SB23","patient","Phascolarctobacterium",0.00107584722969338
"SB24","control","Phascolarctobacterium",0
"SB25","control","Phascolarctobacterium",0.0245098039215686
"SB26","control","Phascolarctobacterium",0
"SB28","patient","Phascolarctobacterium",0.0003933910306845
"SB29","patient","Phascolarctobacterium",0
"SB3","control","Phascolarctobacterium",0
"SB30","patient","Phascolarctobacterium",0
"SB31","control","Phascolarctobacterium",0
"SB32","control","Phascolarctobacterium",0
"SB33","control","Phascolarctobacterium",0
"SB34","patient","Phascolarctobacterium",0
"SB35","patient","Phascolarctobacterium",0
"SB36","patient","Phascolarctobacterium",0
"SB38","patient","Phascolarctobacterium",0.000303526983548838
"SB39","patient","Phascolarctobacterium",0.0173913043478261
"SB4","patient","Phascolarctobacterium",0
"SB40","control","Phascolarctobacterium",0.0121385219564441
"SB41","patient","Phascolarctobacterium",0.0014606940509915
"SB42","patient","Phascolarctobacterium",0
"SB43","patient","Phascolarctobacterium",0
"SB44","patient","Phascolarctobacterium",0
"SB45","control","Phascolarctobacterium",0
"SB5","patient","Phascolarctobacterium",0
"SB6","patient","Phascolarctobacterium",0
"SB7","control","Phascolarctobacterium",0
"SB8","patient","Phascolarctobacterium",0.00067260803766605
"SB9","patient","Phascolarctobacterium",0
"SB1","control","Odoribacter",0.000909297567629007
